Index,Name,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score
12,Aaron Maashom,72363.72,6124.31,5,3,8,3,0,0.375,7.6,6.375,2,364.45,30.43774241,241.5,137.6729658,135.5830431,449.1326841,Standard
13,Aaron Pressmanb,62776.63,5198.385833,6,4,19,5,28.125,18.5625,14.8,7.5625,0,1751.97,33.94842025,230.0625,153.0304524,87.19949734,410.4666753,Poor
14,Aaron Pressmanq,11654.425,945.2020833,3,4,8,1,8.25,14.875,6.23,3.75,1,1154.58,30.4568786,214.5,8.99650234,0,314.747601,Standard
15,Aaron Sheldricka,17206.61,1523.884167,10,8,33,8,38.125,16.5,1.85,9.5,0,3218.04,32.03824733,112.5,65.32208337,32.64387021,261.6794538,Standard
16,Aaronf,18002.675,1430.222917,6,3,10,3,26.375,12.125,1.065,5.25,2,698.05,29.57668643,337.5,34.03249572,10.83701544,304.7870806,Good
17,Aaronk,34800.24,3140.02,9,8,24,8,42.125,24.75,25.25,10.5,0,3645.73,30.94002786,10.5,216.1096598,34.22309621,244.4458527,Poor
18,Aaronl,28446.58,2597.548333,3,5,5,4,2.125,7.75,1.87,3.25,2,640.4,33.13726889,323.5,66.06402666,31.55085478,328.9083103,Good
19,Aarony,63115.54,4981.628333,4,7,2,2,21,8.375,4.21,4.625,2,1194.9,33.21360774,376.5,54.03375696,58.41202212,537.0347963,Poor
20,Abbottg,39305.86,3484.488333,7,6,5,2,26.125,15,17.455,1.125,1,1365.29,31.72495282,240.5,64.40514455,26.63049649,433.9731447,Standard
21,Abboudi,31223.33,2312.016273,8,3,9,4,28.625,11.125,8.765,2.625,2,906.8,33.64572904,372.5,223.8723049,29.91650963,301.1974663,Standard
22,Abboudq,40066.9475,3232.412292,6,5.5,22.5,5,30.5,18.625,24.1725,9.125,0,2751.215,33.43443595,114.5,143.5659061,25.73321055,253.5523722,Standard
23,Abboudt,30373.35,2495.1125,3,5,4,3,11.875,9.375,11.51,1,2,791.4,31.35730245,377.625,55.61424998,30.74888772,355.8417742,Standard
24,Abboudy,37824.65,3208.054167,5,2,3,3,6,8.5,2.78,4.5,2,69.84,33.90064999,330.5,67.56184428,29.28109455,421.1767652,Good
25,Abhijit Neogye,14145.77,974.8141667,8,10,17,6,49.75,15,17.47,8,0,4609.03,28.97477255,116.5,48.70845496,29.6409752,258.8019209,Standard
26,Abhijitn,15325.73,1181.144167,6,8,30,5,30.875,21.125,15.24,10,0,4445.87,31.73853439,138.5,61.85078441,0,262.2744943,Standard
27,Abhirup Roym,28630.01,2637.834167,1,4,3,1,12.5,0.5,7.81,2.625,2,1455.62,32.86924286,338.5,16.39547854,58.09896484,354.7570868,Standard
28,Abhishek Vishnoii,41293.1,3716.091667,5,4,13,2,10.75,20.375,9.155,7.75,1,1416.43,31.92871957,224.5,47.71436507,89.44041796,398.2552732,Good
29,Abhishek Vishnoio,72145.32,5822.11,1,6,10,0,6.875,10.5,3.265,0,2,1285.49,35.28230548,325.625,0,90.53505155,629.692879,Standard
30,Abhishek Vishnoiw,101583.48,8648.29,5,7,10,4,8.25,8.125,5.14,3.875,1,50.93,34.48935134,288.5,190.8110171,61.05917677,680.2348575,Standard
31,Abhishekx,15660.15,1363.0125,9,10,23,5,44.5,15.5,3.46,9,0,1354.33,34.83097235,98.875,57.29067943,28.85524603,262.9378238,Poor
32,Ablana,26340.1,2476.008333,4,5,15,3,10,13,3.88,0.375,1,221.86,31.59454471,211.5,62.08092868,29.48445948,366.315423,Good
33,Ablanb,19278.72,1367.56,10,10,22,6,45.5,19.5,28.3,10,0,3036.1,32.88650203,25.5,71.89556887,34.81066721,240.8291078,Standard
34,Ablane,58427.31,4717.9425,10,5,23,4,49.5,19.25,17.515,6,0,1956.44,32.9322301,206.5,125.5956944,69.6599391,408.9187451,Poor
35,Ablanj,14947.38,1191.615,8,10,28,6,35.375,16.875,13.505,7.625,0,2059.59,30.29206585,136.5,49.2988969,12.08750832,238.1102235,Poor
36,Ablann,90403.77,7433.6475,4,6,2,0,14.5,6.625,0.84,1.5,2,575.68,36.19896708,241.5,0,99.70591062,736.1364185,Standard
37,Ablans,9163.96,806.6633333,6,10,23,2,20.375,17.125,10.93,6,1,1685.88,29.84763513,74.5,14.37770113,23.259099,292.3074059,Poor
38,Ablanx,60243.46,5070.288333,6,5,16,3,5.625,11.5,1.485,6.125,1,854.02,34.38992576,264.5,76.82031354,40.71987278,389.5099408,Standard
39,Abocarm,76374.93,5984.835892,8,7,12,2,25.5,10.5,3.8,2.625,1,1060.8,31.77528084,354.5,354.4620135,114.0044015,522.8551009,Good
40,Abrahamiana,111642.18,9316.515,5,5,6,2,6.375,9.75,3.165,1.875,2,1236.68,36.25965699,188.5,93.64865177,75.32760853,820.4214043,Good
41,Abrahamianb,75476.72,6492.726667,10,10,30,5,18.625,24.875,9.785,8,0,1401.04,30.16186401,215.5,301.5576793,91.26414795,191.2118881,Poor
42,Abrahamianu,44632.44,3419.37,10,6,33,5,17.375,18.25,24.355,8,0,3409.13,34.17424722,78.5,154.1423109,46.86143791,313.4021449,Standard
43,Abrahamianz,21863.8,1895.983333,7,3,14,2,9.375,14.75,9.805,2,1,1377.13,34.26402759,362.5,26.05413693,18.30202123,311.0743986,Standard
44,Accardoq,59649.39,4982.7825,10,7,28,6,34,22.875,21.455,9.5,0,4291.3,30.40586999,116.5,164.6636774,123.3564787,378.5218949,Poor
45,Achery,142152.48,11894.04,6,7,19,0,13,13,11.91,1,1,185.7,37.55086806,191.5,0,105.7620632,222.4335907,Good
46,Adam Jourdang,9092.87,477.7391667,6,6,16,5,11.125,16.75,15.05,9,1,2216.91,33.26306726,95.5,30.73349689,15.56852245,259.0036554,Good
47,Adam Jourdanh,40925.46,3152.455,5,5,31,2,30.75,10.125,14.12,12,1,1490.42,32.31858902,194.5,63.99511936,33.87706052,391.9583739,Poor
48,Adam Kerlina,117878.55,9836.2125,3,3,6,3,5.875,8,9.845,0,2,84.22,33.2932222,310.5,259.2369983,80.83225973,503.3065925,Standard
49,Adamg,44679.35,3528.279167,7.333333333,7,19.66666667,6,33.20833333,20.125,8.57,8.5,0,1311.17,31.75580052,193.8333333,113.1054352,39.22744925,371.760565,Poor
50,Adamh,109322.7,9248.225,5,3,1,1,9,8.125,12.025,5.125,2,387.99,33.6468101,311.5,58.17062111,204.2190093,659.3845683,Good
51,Adamj,40331.05,3106.920833,5,5,3,2,26.75,11.625,10.81,2,2,767.89,33.08786191,236.5,64.765007,31.16252758,343.3622698,Poor
52,Adamw,67512.6,5804.05,7,6,31,3,26.75,10.375,13.605,12,1,2342.79,31.62986578,120.5,88.99393704,105.2748506,441.9637928,Poor
53,Adegokef,38305.28,3273.106667,7,5,15,5,16.5,22.75,4.5,11.25,0,1718.29,31.15427388,70.625,151.9368597,104.6291727,225.8951735,Poor
54,Adegokei,70646.64,6135.22,4,8,21,7,22.75,8.625,19.35,8,1,1639.04,32.06533935,193.5,390.2111616,76.21226119,251.8751524,Poor
55,Adegokej,77974.08,6458.506667,5,4.666666667,12,0.666666667,12.41666667,11.54166667,10.68,2.708333333,2,519.4033333,32.82060896,300.8333333,29.73697615,102.2735122,584.549989,Standard
56,Adegokem,164861.36,13461.44667,4,3,11,0,2.75,2,7.205,1,2,455.55,37.05634618,223.5,0,126.2140139,453.7561383,Good
57,Adegokeq,69699.66,5538.305,3,6,5,1,21.5,11.375,3.59,3,1,485.36,35.0983667,233.5,57.27662841,103.2932199,480.5891211,Standard
58,Adegokew,61204.77,5057.3975,8,8,32,6,25.25,22.5,18.67,13.5,0,4751.96,35.79768482,156.5,236.4311998,40.40925304,251.6756323,Standard
59,Adinarayanx,16140.325,1309.027083,4,4,9,3,5.5,13.375,7.695,6,1,382.28,30.71019053,258.5,38.45894324,35.11119526,262.6724669,Standard
60,Aditi Shahb,157794.6,13225.55,3,3,11,2,9.875,10.125,8.355,1,2,1198.78,33.05073543,325.625,261.873309,109.3916308,708.5297187,Good
61,Aditi Shahj,90662.43,7701.2025,8,5,8,6,21,10,13.76,8,1,208.35,33.50347296,138.5,267.1839125,51.10329234,400.9624857,Standard
62,Aditi Shahz,20734.2,1970.85,5,6,2,3,7.5,1.125,5.23,2.625,2,139.77,32.37035166,319.625,32.92147168,31.26194726,313.7023588,Good
63,Aditi Shrivastavad,19200.08,1678.006667,3,3,15,4,7.875,19.375,19.74,8.125,1,1466.57,27.49261093,66.5,54.41731056,18.73631207,291.8628596,Standard
64,Aditi Shrivastavau,71554.68,5758.89,3,6,12,2,9.75,13.125,17.49,1,1,90.14,32.20245693,372.5,103.3976742,49.48727727,471.9523951,Standard
65,Aditi Shrivastavaz,72690.14,6055.503684,4,5,18,4,27.875,12.375,15.16,3.5,1,37.07,29.61512078,373.5,309.2376595,105.5200543,395.7234863,Standard
66,Aditir,17965.72,1295.143333,7,8,32,2,47,10.125,16.91,10,1,2654.64,30.80395178,238.5,17.05915245,32.0954386,288.6273115,Poor
67,Aditya Suharmokoa,88968.9,7176.075,4,3,15,4,21.625,13.625,19.055,7.5,1,375.83,32.18605387,232.5,290.5684102,123.9681109,380.3787614,Standard
68,Adlerb,14099.52,1049.681135,8,7,20,4,35.375,17.25,13.18,6.375,1,1288.65,33.00877775,155.5,68.37561333,22.05914258,297.3288995,Poor
69,Adlerc,15712.65,1195.3875,10,7,22,9,23,22.25,16.94,9.375,0,2540.41,31.78432721,133.5,79.86675873,23.71269607,237.8386784,Standard
70,Adlerd,8220.625,588.0520833,8,9,23,6,38.75,21,17.405,14,0,4301.9,31.36609162,13.5,37.81756205,15.95544134,254.6320443,Poor
71,Adlerh,147517.36,11930.05208,3,5,16,1,11.125,20.5,6.29,5.25,1,325.89,35.60431239,384.5,654.4003267,86.31309861,856.7114741,Good
72,Adlerk,85151.165,7047.930417,5.4375,6.4375,9,2.5,24.25,13.25,9.455,5.5625,1,535.21,33.66340846,242.5,146.8567712,96.3034622,545.7251437,Standard
73,Adlern,69823.72,5547.643333,4,2,3,4,8,1.625,7.47,4.25,2,163.11,28.97352088,337.5,128.574933,60.43089708,471.7090005,Good
74,Adlerr,37313.32,3045.443333,7,8,32,6,28.75,17.75,10.51,9.75,0,4919.69,30.75962297,125.625,170.6518978,34.32226988,220.3038536,Poor
75,Adomaitish,74063.28,6201.94,3,6,5,2,9.375,18.25,13.91,9,1,1040.09,35.81535863,216.5,117.4361398,61.44520858,494.2196374,Standard
76,Adrian Croftf,21120.835,1790.069583,3,5,2,3,15.875,1.5,10.855,1,2,655.39,34.25893191,292.5,35.01873175,26.28714084,340.3975121,Good
77,Adrian Croftk,179072.36,15136.69667,2,2,5,4,7.875,11,8.32,3,2,269.2,33.79866217,202.5,457.5856834,110.7557473,616.7769985,Good
78,Adrian Krajewskit,163851.12,13815.26,5,5,8,2,6.75,0.125,9.14,5.75,2,533.48,34.93223925,397.5,139.1229366,93.72837988,665.5272162,Good
79,Adrianr,122705.73,10049.4775,5,6,6,3,13,11.75,7.215,4.25,2,1004.82,34.28325669,251.5,200.3156921,73.84709359,708.9656704,Poor
80,Adrianu,58424.97,4893.7475,6,3,17,3,9.25,20.25,10.895,0.875,1,52.98,31.7352896,185.625,121.7528953,62.65467129,370.2815033,Poor
81,Adrianv,36849.5,3029.791667,8,6,25,9,42.625,22.875,4.38,10,0,2327.11,30.43675918,234.5,174.5290824,44.31173417,260.3730544,Poor
82,Adveithp,9381.05,559.7541667,10,10,16,7,19,21.375,7.54,8,0,1625.4,36.85501672,234.625,27.91818864,13.02386656,258.8264288,Poor
83,Afanasievar,20043.26,1385.271667,7,10,25,6,27.875,18.75,27.735,8.75,0,3713.24,27.85915418,74.5,89.29738542,32.60466182,238.2964389,Standard
84,Agnieszka Barteczkon,14562.88,1069.573333,7,4,18,4,8.375,8.5,11.05,10,1,1619.56,34.4996286,191.5,43.28729267,11.75400007,266.6149834,Poor
85,Agnieszka Flakc,10172.08,997.6733333,7,8,19,6,48.625,16,2.62,8,0,3539.39,34.1122167,167.625,44.08367949,40.21564132,263.240575,Poor
86,Agnieszkac,62983.02,5525.585,5,3,20,6,9.25,8.75,13.89,5,1,1469.91,33.7422253,85.5,199.4797293,100.688024,318.0690897,Standard
87,Agnieszkae,18407.68,1685.973333,4,3,4,4,13.375,7.25,11.115,0,2,1199.21,33.23711345,198.625,36.33037309,35.65125824,296.2659711,Good
88,Agrawalc,17791.55,1587.629167,10,6,34,8,34.375,16.75,6.37,11,0,1682.62,30.17659275,133.5,116.5271836,54.49633363,208.1490333,Poor
89,Agrawalh,38791.68,3265.64,6,9,30,9,20.75,22.875,3.315,11.5,0,3772.55,32.30806208,32.5,197.6613034,59.34108773,273.4296563,Poor
90,Agrawall,69700.7675,5808.397292,4.5,5.5,5,4,15.25,9.5,10.2575,2.5,2,1347.3,32.35298312,172,206.0225023,57.46495387,316.5144199,Poor
91,Agrawaly,43922.32,3869.193333,2,6,6,3,0,7.125,8.17,2.125,2,233.83,31.05697554,270.5,66.54092877,49.24345178,401.4368001,Good
92,Ahmanns,69228.92,5752.076667,9,8,18,7,44.625,15.5,5.34,11.25,0,4648,31.7418673,22.875,316.1501011,75.75611618,186.4715955,Poor
93,Ahmannz,44056.29,3946.3575,4,5,29,5,6.25,19.875,14.675,12.5,1,1474.48,32.63682754,154.5,139.3308661,48.69280409,324.3111762,Poor
94,Ahmedv,130793.12,10957.42667,6,6,20,3,19.625,11.75,10.235,7.375,1,298.13,35.52553045,203.5,179.251209,97.61337397,785.9619297,Standard
95,Aileen Wanga,31807,2733.583333,8,3,14,2,17.875,8.375,15.43,1,1,611.04,29.61066323,244.5,35.55369086,32.15559293,378.1090252,Good
96,Aileen Wangg,35880.37,3057.030833,4,1,8,2,0.625,0.875,9.87,2,2,117.91,33.06533662,253.5,55.68093578,34.69060297,360.2541067,Good
97,Aileen Wangi,32412.72,2887.06,9,6,32,9,39.125,22.625,7.865,7.625,0,3632.05,33.1833688,121.5,163.0675359,38.1161378,265.6858149,Poor
98,Aileen Wangk,42237.36,3725.78,5,7,4,4,8,10.375,6.5,2.875,2,1170.65,32.52632325,307.5,98.45588688,48.08594346,387.2591776,Poor
99,Aileen Wangp,18648.38,1804.031667,4,9,22,4,6.375,9.875,13.375,11.5,1,2056.32,32.5986902,211.5,34.45954512,42.99627939,286.2979631,Poor
100,Aileen Wangw,22808.9875,1983.748958,7.5,10,24.5,5.5,40.1875,19.375,10.0275,10.625,0,1976.185,33.14108371,153.5,97.01396439,32.47451192,294.7874541,Poor
101,Aileen Wangy,9579.1225,933.2602081,8,8.5,27.5,6.5,41.875,14.875,15.445,11.5,0,2222.73,34.3909646,148.5,35.81630441,29.68820559,277.4361174,Standard
102,Ailx,10682.245,689.1870833,7,6,6,4,19.25,18.125,7.345,0,1,1269.6,33.74827823,326.5,17.93363425,16.77757619,286.3784339,Standard
103,Aizhup,15509.88,1157.49,9,6,23,6,53.375,20.125,18.16,9.5,1,2664.21,33.50885916,125.5,74.04113293,21.00730233,226.5252784,Poor
104,Ajith,79439.56,6444.963333,8,6,6,4,9,11.75,18.77,6,1,75.76,30.82582028,168.5,211.5748002,71.91445832,477.5439345,Standard
105,Ajitx,13838.18,1420.181667,5,4,15,6,11.125,14.875,8.85,7,1,1381.32,27.50328592,218.625,51.98653037,54.40820487,288.5091682,Standard
106,Akiny,18465.74,1509.811667,3,4,24,4,20.75,19.75,18.645,8.5,1,1854.48,29.70007907,136.625,54.40859291,31.66449402,278.527949,Poor
107,Akinz,73028.88,5955.74,7,6,34,8,50.25,16,22.75,9,0,3641.51,27.50749603,169.5,425.5467784,44.51994478,248.0965408,Poor
108,Al-Khalidiu,67845.56,5576.475346,3,5,20,4,19.625,17.625,19.505,11,1,1478.49,32.35774224,224.5,209.2143328,79.55565899,413.234374,Poor
109,Al-Zaquanh,39791.2,3491.933333,6,9,29,2,31.5,23,15.55,7,0,1287.18,30.34421596,114.5,58.03885575,30.18043296,377.6671494,Poor
110,Al-Zaquanq,31086.42,2534.535,5,6,11,0,24.25,20.375,2.07,4.5,2,1057.47,33.02486535,247.5,0,44.83371849,408.1029149,Good
111,Alan Raybouldh,20417.71,1812.475833,4,4,10,3,24.625,20.25,20.7,6.25,1,517.51,31.06157418,151.5,46.11577293,32.10949726,319.1802936,Standard
112,Alan Wheatleye,17908.68,1645.39,7,4,17,2,8.625,12.375,10.3125,4.6875,1,408.275,31.01076149,245.5,16.55143241,22.24736189,336.2577267,Standard
113,Alan Wheatleyg,48776.85,4077.7375,10,5,30,4,61,24.75,0.56,12.625,0,2574.82,32.0028741,80.5,135.329769,33.12447881,279.5617432,Poor
114,Alan Wheatleyh,44784.78,3783.065,9,5,21,9,47.625,23.625,22.05,13.875,0,3735.23,34.76451117,142.5,276.2686976,31.67037713,210.9008053,Standard
115,Alan Wheatleyo,19803.82,1526.318333,7,7,25,5,31.5,16.875,3.935,12,0,1958.78,34.89606914,148.625,73.58321011,64.80006012,262.5351729,Poor
116,Alan Wheatleyr,19667.73,1594.9775,10,9,19,8,28.75,15.25,19.48,8.5,0,4526.89,32.84285754,71.625,99.81113921,48.24440643,241.5324287,Standard
117,Alan Wheatleyu,120789.44,10076.78667,5,6,9,0,8.5,13.125,8.98,2,1,1015.79,35.77569007,318.5,0,117.7986511,873.0890469,Standard
118,Alan Wheatleyx,38036.62,3240.718333,7,5.333333333,19.66666667,5.666666667,26.70833333,13.20833333,16.2,7.625,1,1802.12,29.03556676,166.5,154.1200472,55.04496487,258.2611365,Poor
119,Alan Wheatleyy,60177.04,5093.753333,7,6,11,3,10.5,19.5,17.55,2.75,1,765.97,33.50999467,250.5,142.7507076,54.82760476,486.0401185,Standard
120,Alanc,20992.38,1621.365,5,9,25,2,23.5,13.625,8.145,9.75,1,1403.86,31.59692012,126.5,25.4335699,39.73396087,282.3682362,Poor
121,Aland,35669.97,3196.4975,5,7,19,2,14,15.375,14.575,5,1,657.81,33.28256864,194.5,57.64795768,35.4495903,404.2784467,Standard
122,Alanf,61503.66,4972.305,7,4,11,4,6,19.125,12.265,1.875,2,1150.36,31.77945255,397.5,179.6433416,53.11471023,318.4290026,Good
123,Alang,60031.96,5148.663333,9,9,22,9,61.375,25,28.85,6,0,3395.4,33.28942964,112.5,262.168074,88.02756539,308.9710742,Poor
124,Alank,47733.06,3789.755,7,5,31,6,60.5,20.25,5.1,11.875,0,1660.86,29.94212179,226.5,207.5197165,61.7690826,267.3242413,Poor
125,Alanl,33599.08,2749.923333,5,5,13,4,14.125,10.25,6.805,4.875,1,743.6,30.53449993,323.5,95.59666049,49.11336645,318.7968621,Standard
126,Alano,15881.58,1169.465,8,6,34,7,35.375,19.875,23.77,14.25,0,3614.38,30.96791638,74.5,67.15145011,22.66385125,265.7158744,Poor
127,Alanp,68133.2175,5644.640487,4,3,15.5,3.5,10.1875,10.875,1.51,2.875,2,964.68,32.72096481,210.5,178.8622532,79.74095991,412.5696628,Good
128,Alanu,50346.895,4383.574584,4,4.5,14,3,11.625,6.3125,5.65,7.75,2,1207.565,31.91647101,209,86.51630712,46.30914011,424.7227468,Standard
129,Alasdair Reillyx,13486.615,1003.884583,8,6,8,2,8,9.875,11.635,1,2,45.37,30.58209141,224.5,14.72466165,20.89452931,293.3079467,Good
130,Alastair Sharpa,33785.2,2713.433333,4,6,14,3,18.625,20.375,18.18,7,1,1588.18,32.86132762,80.5,59.13881949,42.91653765,363.600296,Poor
131,Alastair Sharpe,66502.76,5379.896667,0,6,1,2,29.25,9.5,7.81,2,2,276.91,33.15847895,227.5,80.10017431,70.98632216,553.7410288,Poor
132,Alastair Sharpn,109480.98,9031.415,5,4,9,0,23.25,8.5,14.29,6,1,372.34,34.83506839,334.5,0,72.48810991,866.5322928,Standard
133,Alastair Sharpy,61348.98,5038.415,5,7,9,4,24.5,11.125,6.44,4.75,1,1240.49,31.03812652,329.5,168.595419,105.194826,335.9990573,Standard
134,Alawadhiw,60787.32,4850.61,6,6,28,8,60.875,20.25,24.805,8.625,0,4851.34,31.38758633,18.5,279.4056539,81.92987293,222.4700381,Poor
135,Alberto Alerigib,107313.84,9242.82,8,7,17,0,10,16.875,11.27,1.25,1,794.53,34.82082099,302.5,0,99.39686583,765.6605788,Good
136,Albertoi,20422.48,1442.873333,5,7,5,0,26.125,9.625,15.955,1.375,1,1420.58,30.47850542,388.5,0,17.08074029,331.7202208,Good
137,Albertoo,11967.245,726.2704167,8,6,15,3,8.875,7.625,15.915,4,1,1301.16,29.41307429,238.5,18.48098792,19.64066846,287.6474249,Standard
138,Albertoq,106928.84,9110.736667,5,3,13,4,18.875,11.625,16.63,9.25,1,619.74,34.30489446,203.5,240.733237,82.14657762,546.767055,Standard
139,Albertow,52595.46,4532.955,9,7,28,6,41.25,11.75,13.175,11,1,1394.29,34.72463991,229.5,244.3970313,60.98692729,279.7259796,Poor
140,Albertt,16827.15,1608.2625,7,10,23,9,26,20.875,21.99,13.125,0,2761.57,30.60727537,66.5,124.4945459,53.04890866,216.954613,Standard
141,Aldredb,20083.06,1856.588333,8,5,15,3,19.125,21.625,7.735,7.125,0,2381.47,32.13250304,110.5,33.81951909,19.64944973,340.8201353,Poor
142,Aldredy,16997.715,1201.47625,2,2,7,2,3.125,12.125,1.48,1,2,1204.59,31.14708103,263.5,26.56462545,32.77499284,285.17021,Good
143,Aldredz,118884,9665,5,6,8,0,14,2.5,8.665,3.25,2,830.63,33.96442791,252.5,0,85.06897848,889.1210872,Standard
144,Alejl,44678.57,3502.214167,3,6,9,1,11.125,10,9.91,3.5,2,834,31.28620549,365.5,25.15786633,27.24573395,466.7724227,Poor
145,Alejr,147378.96,12131.58,1,4,11,2,0.375,9.625,7.87,0.125,2,1180.37,34.57820574,199.5,129.9925499,79.25338906,915.139885,Standard
146,Alekse,19703.09,1563.924167,9,9,22,7,31.375,15.375,22.135,10.5,0,2677.04,30.51042159,67.5,89.23930823,14.08924882,225.5534874,Standard
147,Alerigif,79748.92,6883.743333,5,3,14,1,16.875,12.625,4.325,4,1,1069.89,34.01961228,218.5,55.83916081,46.90302725,601.3957151,Standard
148,Aless raq,16943.505,1382.95875,4,6,11,1,24,16,8.555,4.75,2,961.19,33.23676935,306.5,11.20324446,27.88654313,316.1631387,Good
149,Aless rav,18848.995,1364.749583,3,6,10,0,4.75,8,7.51,5.5,2,159.31,33.56013917,348.5,0,17.09527044,335.4663341,Standard
150,Aless ray,41345.58,3260.465,0,5,10,0,7.25,0.375,5.545,6.25,2,646.47,29.09047103,340.625,0,36.94720504,417.2009692,Poor
151,Alessi,9848.32,629.6933333,8,7,9,6,7.25,10.375,11.94,6.5,1,227.88,33.51499701,107.5,32.11702372,0,267.1555051,Standard
152,Alessp,73134.06,5913.505,5,4,12,4,23.625,12.375,4.38,3.875,1,382.91,32.27850775,398.5,156.9209564,104.8302967,455.5793026,Standard
153,Alessr,11688.93,1239.0775,6,7,19,4,21.125,10.125,5.3,5.5,1,1066.48,30.94624417,347.5,31.7821377,30.10262293,274.6187754,Standard
154,Alex Chamberso,29822.12,2223.176667,4,4,7,4,25.75,8.125,5.775,4,1,21.07,30.30891426,335.5,77.97289803,19.07913792,331.3425905,Standard
155,Alex Dobuzinskiso,60379.28,4663.191087,5,6,18,3,16.75,12.625,6.83,1,1,725.39,31.65174582,206.5,138.0449119,125.7692886,422.817309,Standard
156,Alex Frewf,22974.455,2107.537917,6.75,8.25,18.5,4,39.875,15.5625,11.8975,10.1875,0,2708.31,32.11786098,183.5,37.57945088,51.42270498,323.6672791,Poor
157,Alex Frewm,121197.9,10285.825,2,5,11,4,1.75,11.625,2.425,4,2,203.65,30.3863583,250.5,370.6193016,90.55191068,556.5845511,Good
158,Alex Frewt,28796.82,2378.735,6,6,21,5,30,22.375,2.655,8,0,2382.35,32.37733498,74.5,82.23521975,30.43015294,266.6359573,Poor
159,Alex Frewy,34960.25,3045.354167,6,7,16,0,6.75,12.5,7.54,0.5,1,1364.64,32.21799454,283.5,0,65.09465697,416.8032926,Good
160,Alex Lawlerc,41360.3,3424.691667,3,7,12,1,12.5,10.125,8.06,0,2,254.29,32.60470855,254.5,33.64768787,35.5134645,399.3021604,Poor
161,Alex Lawlerh,125079.04,10197.25333,6,7,17,1,8.75,18.5,9.64,5.25,1,1029.08,33.77179811,221.5,88.81097798,130.3551773,713.4036119,Poor
162,Alex Lawlers,30962.65,2711.220833,8,4,11,0,22.875,12.875,5.525,5.375,1,716.42,31.6096992,283.5,0,41.17831315,401.6049648,Standard
163,Alex ere,35142.57,3074.5475,3,7,18,4,9,13.75,7.515,5,1,951.46,34.32624775,190.5,90.90178477,53.03850028,292.75216,Standard
164,Alex erq,83619.16,7268.263333,10,6,26,9,57.5,23.5,27.385,10.5,0,2947.15,29.79223634,126.5,584.3944456,49.25257384,120.7477303,Poor
165,Alex rac,36064.74,2711.395,5,6,13,0,17.5,14.625,10.085,4,1,884.11,33.49303904,356.5,0,40.05139374,409.0860071,Standard
166,Alex rah,8312.085,568.67375,8,5,18,2,6.125,11,19.195,10.5,1,1945.67,31.27880149,78.625,10.73435757,12.28404853,295.4513126,Poor
